participant_id,period,treatment,high_tempo,crossover_order,first_session_is_high_tempo,outcome_tte,pre_energy,pre_motivation,pre_music_liking,post_rpe,post_headphones,post_plank_pause,post_volume_clear,participant_age,participant_gender,participant_locale,activity_level_baseline,activity_type_baseline,plank_frequency_baseline,impossible_time,washout_violation,in_primary_analysis,in_first_period_benchmark
51f73f05-2b53-4817-9aee-c81f817d001e,2,high_tempo,1,low_tempo_first,0,116.753,3,3,5,5,0,0,1,34,male,en,4,19,1,0,0,1,1
5681b22e-5a5a-41ab-b583-83e5faca7f0c,1,high_tempo,1,high_tempo_first,1,143.961,5,6,5,7,0,0,1,30,male,en,4,7,1,0,0,1,1
5681b22e-5a5a-41ab-b583-83e5faca7f0c,2,low_tempo,0,high_tempo_first,1,135.985,6,6,5,7,0,0,1,30,male,en,4,7,1,0,0,1,1
6bb10a1a-8774-42e2-adf9-54c7ce2f8b0c,1,low_tempo,0,low_tempo_first,0,70.451,5,5,5,6,0,0,1,30,male,en,1,26,1,0,0,0,1
6fc77b0d-c3fb-4707-951e-9b9799689bb6,1,low_tempo,0,low_tempo_first,0,53.762,4,3,3,7,0,0,1,26,female,es,2,16,2,0,0,1,1
6fc77b0d-c3fb-4707-951e-9b9799689bb6,2,high_tempo,1,low_tempo_first,0,63.947,5,6,4,9,0,1,1,26,female,es,2,16,2,0,0,1,1
7450aafa-ea5f-4c6d-b247-77371bfb1300,1,high_tempo,1,high_tempo_first,1,69.95,5,5,7,8,0,0,2,42,male,es,4,5,1,0,0,1,1
7450aafa-ea5f-4c6d-b247-77371bfb1300,2,low_tempo,0,high_tempo_first,1,55.567,4,4,4,8,0,0,1,42,male,es,4,5,1,0,0,1,1
74e93c5b-1d22-4a14-aadf-8c130f1e032d,1,low_tempo,0,low_tempo_first,0,36.898,4,4,5,6,0,0,1,37,female,es,1,11,1,0,0,1,1
74e93c5b-1d22-4a14-aadf-8c130f1e032d,2,high_tempo,1,low_tempo_first,0,32.633,3,5,5,10,0,0,1,37,female,es,1,11,1,0,0,1,1
7633ddb3-fd2b-40e6-b51d-2bb1ac6f7781,1,low_tempo,0,low_tempo_first,0,119.96,4,5,3,5,0,0,1,31,female,en,4,23,2,0,0,1,1
7633ddb3-fd2b-40e6-b51d-2bb1ac6f7781,2,high_tempo,1,low_tempo_first,0,145.059,4,5,4,6,1,1,1,31,female,en,4,23,2,0,0,1,1
77ffd22e-92aa-4245-b891-12b62246f50f,1,low_tempo,0,low_tempo_first,0,161.86,4,4,2,8,1,0,1,45,male,en,4,34,1,0,0,1,1
77ffd22e-92aa-4245-b891-12b62246f50f,2,high_tempo,1,low_tempo_first,0,227.864,6,6,5,9,1,0,1,45,male,en,4,34,1,0,0,1,1
8003d192-6e50-45ea-8340-c08dcb0bbb0d,1,low_tempo,0,low_tempo_first,0,124.091,4,4,4,7,0,0,1,30,female,en,4,17,2,0,0,0,1
80e46ec5-b5e2-45fb-b38f-4538e844a5d7,1,high_tempo,1,high_tempo_first,1,73.088,6,6,6,6,0,0,1,45,male,es,2,9,2,0,0,1,1
80e46ec5-b5e2-45fb-b38f-4538e844a5d7,2,low_tempo,0,high_tempo_first,1,73.984,5,5,6,3,0,0,1,45,male,es,2,9,2,0,0,1,1
81377784-e22b-4e0b-9873-7dd27f7c74a8,1,low_tempo,0,low_tempo_first,0,61.765,4,5,5,7,1,0,2,29,female,en,4,24,1,0,0,1,1
81377784-e22b-4e0b-9873-7dd27f7c74a8,2,high_tempo,1,low_tempo_first,0,63.906,4,5,5,8,1,0,1,29,female,en,4,24,1,0,0,1,1
8976df89-d963-4dc0-aae7-6d84a164b8f5,1,low_tempo,0,low_tempo_first,0,53.198,5,4,5,5,0,0,1,44,male,en,2,31,1,0,0,1,1
8976df89-d963-4dc0-aae7-6d84a164b8f5,2,high_tempo,1,low_tempo_first,0,82.328,4,5,6,5,0,0,1,44,male,en,2,31,1,0,0,1,1
93e6c886-e9bc-4c75-b410-b80200de635c,1,high_tempo,1,high_tempo_first,1,90.787,4,5,3,6,0,0,1,29,male,es,1,,1,0,0,0,1
a4a92d77-9185-4b68-b172-8e05c55888c2,1,low_tempo,0,low_tempo_first,0,142.15,4,4,4,10,0,0,1,44,male,es,4,3,1,0,0,1,1
a4a92d77-9185-4b68-b172-8e05c55888c2,2,high_tempo,1,low_tempo_first,0,67.179,4,4,6,10,0,0,1,44,male,es,4,3,1,0,0,1,1
a8d4043f-f539-4e18-8e48-3ada635703ae,1,high_tempo,1,high_tempo_first,1,104.336,4,6,5,8,0,0,1,28,male,en,1,,1,0,0,1,1
a8d4043f-f539-4e18-8e48-3ada635703ae,2,low_tempo,0,high_tempo_first,1,30.395,3,5,5,7,0,0,1,28,male,en,1,,1,0,0,1,1
abc0f1a2-4866-49d2-9008-558d467329ff,1,low_tempo,0,low_tempo_first,0,48.342,3,4,5,7,0,0,1,59,male,en,1,,1,0,0,1,1
abc0f1a2-4866-49d2-9008-558d467329ff,2,high_tempo,1,low_tempo_first,0,54.368,6,7,5,6,0,0,1,59,male,en,1,,1,0,0,1,1
ac99d716-c387-4f1f-b138-746dd7ac1d0d,1,high_tempo,1,high_tempo_first,1,40.959,4,3,5,5,0,0,1,12,male,es,1,21,1,0,0,1,1
ac99d716-c387-4f1f-b138-746dd7ac1d0d,2,low_tempo,0,high_tempo_first,1,36.683,5,4,4,6,0,0,1,12,male,es,1,21,1,0,0,1,1
aece9a10-2a4a-4162-b9fb-d586ed03d6aa,1,high_tempo,1,high_tempo_first,1,26.5,4,5,7,9,0,0,1,21,male,en,1,29,1,0,0,1,1
aece9a10-2a4a-4162-b9fb-d586ed03d6aa,2,low_tempo,0,high_tempo_first,1,42.923,6,7,4,8,0,0,1,21,male,en,1,29,1,0,0,1,1
b72edc09-d650-4d03-a6af-9ea25fe06790,1,low_tempo,0,low_tempo_first,0,182.437,2,5,1,5,1,0,1,32,female,en,4,4,1,0,0,1,1
b72edc09-d650-4d03-a6af-9ea25fe06790,2,high_tempo,1,low_tempo_first,0,183.504,3,5,3,6,1,0,1,32,female,en,4,4,1,0,0,1,1
bb46ead6-3acb-4e5f-81dd-4242516264c3,1,low_tempo,0,low_tempo_first,0,123.907,5,4,6,10,0,0,1,46,male,es,4,20,1,0,0,1,1
bb46ead6-3acb-4e5f-81dd-4242516264c3,2,high_tempo,1,low_tempo_first,0,151.713,4,5,7,10,0,0,1,46,male,es,4,20,1,0,0,1,1
c266af79-26ee-4f62-b16d-6966fe0bf58b,1,low_tempo,0,low_tempo_first,0,90.812,6,5,7,8,0,0,1,53,male,es,2,12,1,0,0,1,1
c266af79-26ee-4f62-b16d-6966fe0bf58b,2,high_tempo,1,low_tempo_first,0,97.952,7,6,6,9,0,0,1,53,male,es,2,12,1,0,0,1,1
c3bde108-9dc0-49c2-936b-5dafc461abee,1,low_tempo,0,low_tempo_first,0,63.473,4,3,6,7,1,0,1,38,female,es,1,3,1,0,1,0,1
c3bde108-9dc0-49c2-936b-5dafc461abee,2,high_tempo,1,low_tempo_first,0,90.99,5,3,7,9,1,0,1,38,female,es,1,3,1,0,1,0,1
c4b58ebd-ff0e-40ae-87e7-32034d6473f4,1,high_tempo,1,high_tempo_first,1,50.413,4,4,4,4,1,1,1,37,male,en,2,24,2,0,0,1,1
c4b58ebd-ff0e-40ae-87e7-32034d6473f4,2,low_tempo,0,high_tempo_first,1,56.483,5,5,5,5,1,0,1,37,male,en,2,24,2,0,0,1,1
cd219427-2048-4131-920e-9fdd00393e03,1,high_tempo,1,high_tempo_first,1,132.271,5,6,6,8,1,0,1,29,male,en,4,25,2,0,0,1,1
cd219427-2048-4131-920e-9fdd00393e03,2,low_tempo,0,high_tempo_first,1,109.122,5,5,3,7,1,0,1,29,male,en,4,25,2,0,0,1,1
d9c3087a-217c-45b8-a109-af63149d11f6,1,low_tempo,0,low_tempo_first,0,98.552,3,3,3,7,0,0,1,47,male,es,4,2,1,0,0,1,1
d9c3087a-217c-45b8-a109-af63149d11f6,2,high_tempo,1,low_tempo_first,0,162.785,4,4,4,5,0,0,1,47,male,es,4,2,1,0,0,1,1
e37529ef-5a03-4828-a0ff-09479187931f,1,high_tempo,1,high_tempo_first,1,19.849,5,5,6,5,0,0,1,24,female,en,1,30,1,0,0,0,1
ecca814e-779f-4c3f-bf37-ce9b6089e563,1,low_tempo,0,low_tempo_first,0,63.049,5,5,4,9,1,0,1,26,male,en,2,28,1,0,0,1,1
ecca814e-779f-4c3f-bf37-ce9b6089e563,2,high_tempo,1,low_tempo_first,0,70.492,6,6,6,10,1,0,1,26,male,en,2,28,1,0,0,1,1
ee70c559-57cb-47cc-88e1-be3ab8256ced,1,high_tempo,1,high_tempo_first,1,185.003,5,6,6,10,1,0,1,30,male,en,2,27,1,0,0,0,1
eec4e9a5-8d2d-42d3-8958-4f1fd34994fd,1,low_tempo,0,low_tempo_first,0,45.206,3,3,4,5,0,0,1,30,female,en,1,,1,0,0,1,1
eec4e9a5-8d2d-42d3-8958-4f1fd34994fd,2,high_tempo,1,low_tempo_first,0,51.338,7,7,7,6,0,0,1,30,female,en,1,,1,0,0,1,1
