participant_id,participant_age,participant_gender,participant_locale,participant_group_index,participant_group_label,participant_sessions_completed,participant_registered_at,participant_session1_planned_at,participant_session2_planned_at,assigned_order,registered,randomized,order_observed,period1_observed,period2_observed,completed_both_observed,attrited_before_session2,missing_primary_condition,impossible_time,washout_violation,in_primary_analysis,in_first_period_benchmark,primary_exclusion_reason,benchmark_exclusion_reason
a4a92d77-9185-4b68-b172-8e05c55888c2,44,male,es,0,poptrance,2,2026-03-30T01:55:33.902Z,2026-03-30T02:53:00Z,2026-03-31T02:20:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
1ff69fdf-fd33-463d-a7d0-c9e3e517a859,14,male,es,1,trancepop,2,2026-03-30T01:57:08.105Z,2026-03-30T02:54:00Z,2026-03-31T02:15:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
eec4e9a5-8d2d-42d3-8958-4f1fd34994fd,30,female,en,0,poptrance,2,2026-03-30T02:02:14.305Z,2026-03-30T02:05:00Z,2026-03-31T02:15:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
4c5854e9-f991-4516-b669-f99f8cf9247a,11,female,es,1,trancepop,2,2026-03-30T02:03:34.273Z,2026-03-30T02:03:00Z,2026-03-31T02:15:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
abc0f1a2-4866-49d2-9008-558d467329ff,59,male,en,0,poptrance,2,2026-03-30T02:06:14.066Z,2026-03-30T02:15:00Z,2026-03-31T02:48:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
a8d4043f-f539-4e18-8e48-3ada635703ae,28,male,en,1,trancepop,2,2026-03-30T02:15:09.950Z,2026-03-31T02:00:00Z,2026-04-02T02:12:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
bb46ead6-3acb-4e5f-81dd-4242516264c3,46,male,es,0,poptrance,2,2026-03-30T02:47:39.994Z,2026-03-30T02:47:00Z,,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
c3bde108-9dc0-49c2-936b-5dafc461abee,38,female,es,0,poptrance,2,2026-03-30T03:36:23.365Z,2026-03-31T03:40:00Z,2026-04-01T02:30:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,1,0,1,washout < 24h,
35db2bb8-815c-494d-b2f5-cc2e1d1fa749,26,male,en,1,trancepop,2,2026-03-30T03:54:57.098Z,2026-03-30T04:15:00Z,2026-03-31T04:36:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
77ffd22e-92aa-4245-b891-12b62246f50f,45,male,en,0,poptrance,2,2026-03-30T11:26:50.364Z,2026-03-30T11:26:00Z,2026-04-06T16:30:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
b72edc09-d650-4d03-a6af-9ea25fe06790,32,female,en,0,poptrance,2,2026-03-30T17:08:07.243Z,2026-03-30T17:10:00Z,2026-03-31T21:45:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
4f6cecca-6e02-46b1-b0fb-dd8e9c2cd9a6,34,female,es,1,trancepop,2,2026-03-30T19:23:53.952Z,2026-03-30T19:25:00Z,,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
8003d192-6e50-45ea-8340-c08dcb0bbb0d,30,female,en,0,poptrance,1,2026-03-30T23:53:54.204Z,2026-04-01T18:30:00Z,2026-04-05T18:30:00Z,low_tempo_first,1,1,1,1,0,0,1,1,0,0,0,1,missing one condition,
1b7a9db5-f963-4e03-8a1c-0dacd00cde19,33,male,en,1,trancepop,2,2026-03-31T01:04:47.215Z,2026-03-31T14:00:00Z,2026-04-01T14:30:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
74e93c5b-1d22-4a14-aadf-8c130f1e032d,37,female,es,0,poptrance,2,2026-03-31T01:26:56.097Z,2026-03-31T01:26:00Z,,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
5681b22e-5a5a-41ab-b583-83e5faca7f0c,30,male,en,1,trancepop,2,2026-03-31T05:24:05.132Z,2026-03-31T05:30:00Z,2026-04-02T03:00:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
6bb10a1a-8774-42e2-adf9-54c7ce2f8b0c,30,male,en,0,poptrance,1,2026-03-31T07:54:58.990Z,2026-03-31T08:53:00Z,2026-04-01T08:06:00Z,low_tempo_first,1,1,1,1,0,0,1,1,0,0,0,1,missing one condition,
ee70c559-57cb-47cc-88e1-be3ab8256ced,30,male,en,1,trancepop,1,2026-03-31T07:55:28.385Z,2026-03-31T08:53:00Z,2026-04-02T08:00:00Z,high_tempo_first,1,1,1,1,0,0,1,1,0,0,0,1,missing one condition,
7633ddb3-fd2b-40e6-b51d-2bb1ac6f7781,31,female,en,0,poptrance,2,2026-04-01T08:29:54.803Z,2026-04-01T18:00:00Z,2026-04-02T18:16:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
21746785-8c5c-4bf1-83ed-6fe62879537d,33,male,en,1,trancepop,2,2026-04-01T16:24:21.546Z,2026-04-01T16:24:00Z,2026-04-03T16:29:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
15833c45-0dcc-489a-ab5f-cd4b736d9923,68,male,es,0,poptrance,2,2026-04-01T22:57:52.594Z,2026-04-01T23:10:00Z,2026-04-03T00:15:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
c4b58ebd-ff0e-40ae-87e7-32034d6473f4,37,male,en,1,trancepop,2,2026-04-02T03:49:17.629Z,2026-04-02T03:48:00Z,2026-04-04T03:54:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
aece9a10-2a4a-4162-b9fb-d586ed03d6aa,21,male,en,1,trancepop,2,2026-04-04T05:02:23.098Z,2026-04-04T05:01:00Z,2026-04-05T17:00:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
d9c3087a-217c-45b8-a109-af63149d11f6,47,male,es,0,poptrance,2,2026-04-04T19:07:34.671Z,2026-04-05T19:07:00Z,,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
e37529ef-5a03-4828-a0ff-09479187931f,24,female,en,1,trancepop,1,2026-04-04T23:27:04.913Z,2026-04-05T12:25:00Z,2026-04-07T00:30:00Z,high_tempo_first,1,1,1,1,0,0,1,1,0,0,0,1,missing one condition,
ecca814e-779f-4c3f-bf37-ce9b6089e563,26,male,en,0,poptrance,2,2026-04-05T16:11:02.218Z,2026-04-05T17:10:00Z,2026-04-06T17:18:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
7450aafa-ea5f-4c6d-b247-77371bfb1300,42,male,es,1,trancepop,2,2026-04-05T22:42:50.661Z,2026-04-05T23:40:00Z,2026-04-06T23:00:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
2549833a-3e5d-4e70-be06-934fe21952bf,44,male,es,0,poptrance,1,2026-04-06T15:53:16.214Z,2026-04-06T15:53:00Z,2026-04-07T16:11:00Z,low_tempo_first,1,1,1,1,0,0,1,1,0,0,0,1,missing one condition,
80e46ec5-b5e2-45fb-b38f-4538e844a5d7,45,male,es,1,trancepop,2,2026-04-06T15:57:20.502Z,2026-04-06T16:00:00Z,2026-04-08T16:00:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
c266af79-26ee-4f62-b16d-6966fe0bf58b,53,male,es,0,poptrance,2,2026-04-07T01:13:31.553Z,2026-04-07T02:09:00Z,2026-04-10T01:34:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
5043f670-1a3b-42eb-bc41-876ce74c3ef6,43,male,es,0,poptrance,2,2026-04-07T02:26:04.881Z,2026-04-07T02:25:00Z,2026-04-09T02:43:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
38696c94-2413-4688-b833-5337ac87989f,39,female,es,1,trancepop,1,2026-04-07T03:49:57.896Z,2026-04-07T03:49:00Z,2026-04-10T03:30:00Z,high_tempo_first,1,1,1,1,0,0,1,1,0,0,0,1,missing one condition,
6fc77b0d-c3fb-4707-951e-9b9799689bb6,26,female,es,0,poptrance,2,2026-04-07T04:31:08.351Z,2026-04-07T04:31:00Z,2026-04-09T04:35:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
93e6c886-e9bc-4c75-b410-b80200de635c,29,male,es,1,trancepop,2,2026-04-08T14:38:58.027Z,2026-04-08T18:30:00Z,2026-04-11T00:10:00Z,high_tempo_first,1,1,1,1,0,0,1,1,0,0,0,1,missing one condition,
